Автор;Страница в Википедии;страница в lib.ru;произведение ;год написания;страница в Википедии
;;;Витя Малеев в школе и дома;1951;https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%82%D1%8F_%D0%9C%D0%B0%D0%BB%D0%B5%D0%B5%D0%B2_%D0%B2_%D1%88%D0%BA%D0%BE%D0%BB%D0%B5_%D0%B8_%D0%B4%D0%BE%D0%BC%D0%B0
;;;Веселая семейка;1949;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%81%D1%91%D0%BB%D0%B0%D1%8F_%D1%81%D0%B5%D0%BC%D0%B5%D0%B9%D0%BA%D0%B0
Драгунский, Виктор Юзефович;https://ru.wikipedia.org/wiki/%D0%94%D1%80%D0%B0%D0%B3%D1%83%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%92%D0%B8%D0%BA%D1%82%D0%BE%D1%80_%D0%AE%D0%B7%D0%B5%D1%84%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PRIKL/DRAGUNSKIJ/;Девочка на шаре;1960-е;
;;;Гусиное горло;1960-е;
;;;Ровно 25 кило;1960-е;
;;;Третье место в стиле баттерфляй;1960-е;
;;;Сегодня и ежедневно;1964;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B3%D0%BE%D0%B4%D0%BD%D1%8F_%D0%B8_%D0%B5%D0%B6%D0%B5%D0%B4%D0%BD%D0%B5%D0%B2%D0%BD%D0%BE
Крапивин, Владислав Петрович;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D0%BF%D0%B8%D0%B2%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/KRAPIWIN/;Мальчик со шпагой;1974;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BB%D1%8C%D1%87%D0%B8%D0%BA_%D1%81%D0%BE_%D1%88%D0%BF%D0%B0%D0%B3%D0%BE%D0%B9
;;;Трое с площади Карронад ;1979;https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D0%B5_%D1%81_%D0%BF%D0%BB%D0%BE%D1%89%D0%B0%D0%B4%D0%B8_%D0%9A%D0%B0%D1%80%D1%80%D0%BE%D0%BD%D0%B0%D0%B4_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Голубятня на желтой поляне;1985;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D1%83%D0%B1%D1%8F%D1%82%D0%BD%D1%8F_%D0%BD%D0%B0_%D0%B6%D1%91%D0%BB%D1%82%D0%BE%D0%B9_%D0%BF%D0%BE%D0%BB%D1%8F%D0%BD%D0%B5
Гайдар, Аркадий Петрович;https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D0%B9%D0%B4%D0%B0%D1%80,_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D0%B8%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/GOLIKOW/;В дни поражений и побед;1924;https://ru.wikipedia.org/wiki/%D0%92_%D0%B4%D0%BD%D0%B8_%D0%BF%D0%BE%D1%80%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B9_%D0%B8_%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4
;;;Голубая чашка;1936;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D0%BB%D1%83%D0%B1%D0%B0%D1%8F_%D1%87%D0%B0%D1%88%D0%BA%D0%B0
;;;Чук и Гек;1939;https://ru.wikipedia.org/wiki/%D0%A7%D1%83%D0%BA_%D0%B8_%D0%93%D0%B5%D0%BA
;;;Тимур и его команда;1940;https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BC%D1%83%D1%80_%D0%B8_%D0%B5%D0%B3%D0%BE_%D0%BA%D0%BE%D0%BC%D0%B0%D0%BD%D0%B4%D0%B0
;;;Военная тайна;1935;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D1%82%D0%B0%D0%B9%D0%BD%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
Алексин, Анатолий Георгиевич;https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B8%D0%BD,_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D0%B8%D0%B9_%D0%93%D0%B5%D0%BE%D1%80%D0%B3%D0%B8%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/ALEKSIN/;Мой брат играет на кларнете;1968;
;;;Поздний ребенок;1968;
;;;Безумная Евдокия;1976;https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%B7%D1%83%D0%BC%D0%BD%D0%B0%D1%8F_%D0%95%D0%B2%D0%B4%D0%BE%D0%BA%D0%B8%D1%8F
;;;Раздел имущества;1978;
;;;Здоровые и больные;1981;
Остер, Григорий Бенционович;https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D1%82%D0%B5%D1%80,_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%B8%D0%B9_%D0%91%D0%B5%D0%BD%D1%86%D0%B8%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;;38 попугаев;1978;
;;;"Котенок по имени ""Гав""";1976;
;;;Сказка с подробностями;1989;https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B0%D0%B7%D0%BA%D0%B0_%D1%81_%D0%BF%D0%BE%D0%B4%D1%80%D0%BE%D0%B1%D0%BD%D0%BE%D1%81%D1%82%D1%8F%D0%BC%D0%B8
Успенский, Эдуард Николаевич;https://ru.wikipedia.org/wiki/%D0%A3%D1%81%D0%BF%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9,_%D0%AD%D0%B4%D1%83%D0%B0%D1%80%D0%B4_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87;;Крокодил Гена и его друзья;1966;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BA%D0%BE%D0%B4%D0%B8%D0%BB_%D0%93%D0%B5%D0%BD%D0%B0_%D0%B8_%D0%B5%D0%B3%D0%BE_%D0%B4%D1%80%D1%83%D0%B7%D1%8C%D1%8F
;;;Дядя Федор, Пес и кот;1973;https://ru.wikipedia.org/wiki/%D0%94%D1%8F%D0%B4%D1%8F_%D0%A4%D1%91%D0%B4%D0%BE%D1%80,_%D0%BF%D1%91%D1%81_%D0%B8_%D0%BA%D0%BE%D1%82
;;;Красная Рука, Чёрная Простыня, Зелёные Пальцы;1990;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%B0%D1%8F_%D0%A0%D1%83%D0%BA%D0%B0,_%D0%A7%D1%91%D1%80%D0%BD%D0%B0%D1%8F_%D0%9F%D1%80%D0%BE%D1%81%D1%82%D1%8B%D0%BD%D1%8F,_%D0%97%D0%B5%D0%BB%D1%91%D0%BD%D1%8B%D0%B5_%D0%9F%D0%B0%D0%BB%D1%8C%D1%86%D1%8B
Емец, Дмитрий Александрович;https://ru.wikipedia.org/wiki/%D0%95%D0%BC%D0%B5%D1%86,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;;Таня Гроттер и магический контрабас;2002;
;;;Таня Гроттер и Золотая Пиявка ;2003;
;;;Таня Гроттер и птица Титанов;2012;
Погорельский, Антоний;https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%B8%D0%B9_%D0%9F%D0%BE%D0%B3%D0%BE%D1%80%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9#.D0.9B.D0.B8.D1.82.D0.B5.D1.80.D0.B0.D1.82.D1.83.D1.80.D0.B0;http://lib.ru/LITRA/POGORELSKIJ/;Лафертовая маковница;1825;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D1%84%D0%B5%D1%80%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BC%D0%B0%D0%BA%D0%BE%D0%B2%D0%BD%D0%B8%D1%86%D0%B0
;;;Черная курица, или Подземные жители;1826;https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D0%B0%D1%8F_%D0%BA%D1%83%D1%80%D0%B8%D1%86%D0%B0,_%D0%B8%D0%BB%D0%B8_%D0%9F%D0%BE%D0%B4%D0%B7%D0%B5%D0%BC%D0%BD%D1%8B%D0%B5_%D0%B6%D0%B8%D1%82%D0%B5%D0%BB%D0%B8
;;;Монастырка;1830-е;
Водолазкин, Евгений Германович;https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B4%D0%BE%D0%BB%D0%B0%D0%B7%D0%BA%D0%B8%D0%BD,_%D0%95%D0%B2%D0%B3%D0%B5%D0%BD%D0%B8%D0%B9_%D0%93%D0%B5%D1%80%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;;Авиатор;2016;
;;;Лавр;2012;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B2%D1%80_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Соловьев и Ларионов;2010-е;
Юзефович, Леонид Абрамович;https://ru.wikipedia.org/wiki/%D0%AE%D0%B7%D0%B5%D1%84%D0%BE%D0%B2%D0%B8%D1%87,_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4_%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87;;Князь ветра;2001;https://ru.wikipedia.org/wiki/%D0%9A%D0%BD%D1%8F%D0%B7%D1%8C_%D0%B2%D0%B5%D1%82%D1%80%D0%B0
;;;Журавли и карлики;2009;https://ru.wikipedia.org/wiki/%D0%96%D1%83%D1%80%D0%B0%D0%B2%D0%BB%D0%B8_%D0%B8_%D0%BA%D0%B0%D1%80%D0%BB%D0%B8%D0%BA%D0%B8
;;;Зимняя дорога;2015;
Шишкин, Михаил Павлович;https://ru.wikipedia.org/wiki/%D0%A8%D0%B8%D1%88%D0%BA%D0%B8%D0%BD,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/SHISHKIN/;Взятие Измаила;1999;https://ru.wikipedia.org/wiki/%D0%92%D0%B7%D1%8F%D1%82%D0%B8%D0%B5_%D0%98%D0%B7%D0%BC%D0%B0%D0%B8%D0%BB%D0%B0_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Венерин волос;2005;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B5%D1%80%D0%B8%D0%BD_%D0%B2%D0%BE%D0%BB%D0%BE%D1%81
;;;Письмовник;2010;https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%81%D1%8C%D0%BC%D0%BE%D0%B2%D0%BD%D0%B8%D0%BA_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
Матвеева, Анна Александровна;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D0%B2%D0%B5%D0%B5%D0%B2%D0%B0,_%D0%90%D0%BD%D0%BD%D0%B0_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%BD%D0%B0;;Перевал Дятлова;2000;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%B2%D0%B0%D0%BB_%D0%94%D1%8F%D1%82%D0%BB%D0%BE%D0%B2%D0%B0_(%D0%BF%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D1%8C)
;;;Па-де-труа;ок. 2000;
;;;Небеса;ок.2004;
;;;Взятие Бастилии;2015;
Федин, Константин Александрович;https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%B4%D0%B8%D0%BD,_%D0%9A%D0%BE%D0%BD%D1%81%D1%82%D0%B0%D0%BD%D1%82%D0%B8%D0%BD_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/FEDIN/;Города и годы;1924;https://ru.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_%D0%B8_%D0%B3%D0%BE%D0%B4%D1%8B
;;;Первые радости;1948;
;;;Необыкновенное лето;1948;
Бажов, Павел Петрович;https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D0%B6%D0%BE%D0%B2,_%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87;http://lib.ru/TALES/BAZHOV/;Медной горы хозяка;;
;;;Огневушка-поскакушка;;
;;;Синюшкин колодец;;
;;;Горный мастер;;
;;;Каменный цветок;;
Гладков, Федор Васильевич;https://ru.wikipedia.org/wiki/%D0%93%D0%BB%D0%B0%D0%B4%D0%BA%D0%BE%D0%B2,_%D0%A4%D1%91%D0%B4%D0%BE%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;;Цемент;1924;https://ru.wikipedia.org/wiki/%D0%A6%D0%B5%D0%BC%D0%B5%D0%BD%D1%82_(%D1%80%D0%BE%D0%BC%D0%B0%D0%BD)
;;;Энергия;1933;
;;;Лихая година;1954;
Лавренев, Борис Андреевич;https://ru.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B2%D1%80%D0%B5%D0%BD%D1%91%D0%B2,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/LAWRENEW/;Сорок первый;1924;
;;;Чертеж Архимеда;1937;
;;;Ветер;1926;
Макаренко, Антон Семенович;https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%B5%D0%BD%D0%BA%D0%BE,_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%A1%D0%B5%D0%BC%D1%91%D0%BD%D0%BE%D0%B2%D0%B8%D1%87;;Педагогическая поэма;1935;https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D0%B4%D0%B0%D0%B3%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F_%D0%BF%D0%BE%D1%8D%D0%BC%D0%B0
;;;Флаги на башнях;1938;
;;;Честь;1938;
Эренбург, Илья Григорьевич;https://ru.wikipedia.org/wiki/%D0%AD%D1%80%D0%B5%D0%BD%D0%B1%D1%83%D1%80%D0%B3,_%D0%98%D0%BB%D1%8C%D1%8F_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%8C%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/PROZA/ERENBURG/;Оттепель;1954;
;;;В первый день;1941;
;;;Преступление и наказание;1942;
;;;Возвращение Прозерпины;1943;
;;;Перед финалом;1945;
Осоргин, Михаил Андреевич;https://ru.wikipedia.org/wiki/%D0%9E%D1%81%D0%BE%D1%80%D0%B3%D0%B8%D0%BD,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B5%D0%B2%D0%B8%D1%87;http://lib.ru/RUSSLIT/OSORGIN/;Сивцев Вражек;1928;
;;;Свидетель истории;1932;
;;;Книга о концах;1935;
;;;Вольный каменщик;1937;
Алешковский, Петр Маркович;https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D1%88%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9,_%D0%9F%D1%91%D1%82%D1%80_%D0%9C%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B8%D1%87;;Обратная сторона Луны;2010;
;;; Институт сновидений;2009;
;;; Крепость;2015;
Прокофьева, Софья Леонидовна;https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D0%BA%D0%BE%D1%84%D1%8C%D0%B5%D0%B2%D0%B0,_%D0%A1%D0%BE%D1%84%D1%8C%D1%8F_%D0%9B%D0%B5%D0%BE%D0%BD%D0%B8%D0%B4%D0%BE%D0%B2%D0%BD%D0%B0;http://lib.ru/TALES/PROKOFXEWA/;Ученик волшебника;1957;
;;;Приключения желтого чемоданчика;1966;
;;;Белоснежка и принц;1997;
;;;Остров капитанов;1977;
Чарская, Лидия Алексеевна;https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D1%80%D1%81%D0%BA%D0%B0%D1%8F,_%D0%9B%D0%B8%D0%B4%D0%B8%D1%8F_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%BD%D0%B0;http://az.lib.ru/c/charskaja_l_a/;Записки институтки;ок.1900;https://ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%BF%D0%B8%D1%81%D0%BA%D0%B8_%D0%B8%D0%BD%D1%81%D1%82%D0%B8%D1%82%D1%83%D1%82%D0%BA%D0%B8
;;;Княжна Джаваха;1903;https://ru.wikipedia.org/wiki/%D0%9A%D0%BD%D1%8F%D0%B6%D0%BD%D0%B0_%D0%94%D0%B6%D0%B0%D0%B2%D0%B0%D1%85%D0%B0
;;;Смелая жизнь;1905;https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%B5%D0%BB%D0%B0%D1%8F_%D0%B6%D0%B8%D0%B7%D0%BD%D1%8C
